"Country","País"
"Allowed Credit Card Types","Tipos de tarjetas de crédito permitidas"
"Add Rule","Agregar regla"
"Braintree Settlement Report","Informe de acuerdos de Braintree"
"Sorry, but something went wrong","Lo sentimos, pero algo salió mal"
"We can't initialize checkout.","No se puede iniciar el cobro."
"No authorization transaction to proceed capture.","No hay ninguna transacción de autorización para proceder a la captura."
"Braintree error response.","Respuesta de error de Braintree."
"Payment method nonce can't be retrieved.","Forma de pago nonce no puede ser recuperada."
"Wrong transaction status","Estado de transacción incorrecto"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"--Please Select--","--Seleccione--"
"Credit Card","Tarjeta de crédito."
"ending","finalizando"
"expires","expira"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Please, enter valid Credit Card Number","Por favor, indique un número de tarjeta de crédito válido"
"Expiration Date","Fecha de vencimiento"
"Please, enter valid Expiration Date","Ingrese una fecha de vencimiento válida"
"Card Verification Number","Número de verificación de tarjeta"
"Please, enter valid Card Verification Number","Por favor, indique el número de verificación de tarjeta válido"
"Are you sure you want to delete this PayPal account","¿Esta seguro que quieres eliminar esta cuenta de PayPal?"
"PayPal Account","Cuenta PayPal"
"PayPal Logo","Logo PayPal"
"Actions","Acciones"
"Delete","Borrar"
"Credit Card Information","Información de tarjeta de crédito"
"What is this?","¿Qué es esto?"
"Save for later use.","Guardar para uso posterior."
"Place Order","Realizar pedido"
"This payment is not available","Este pago no está disponible"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Por favor, inténtelo de nuevo con otra forma de pago."
"Sorry, but something went wrong.","Lo sentimos, pero algo salió mal."
"Payment ","Pago "
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Acepta tarjetas de crédito/débito y PayPal en su tienda Magento. <br/> Sin cargos mensuales o de instalación y los clientes nunca abandonan su tienda para completar la compra."
"Enable this Solution","Habilitar esta solución"
"Enable PayPal through Braintree","Activar PayPal a través de Braintree"
"Vault Enabled","Vault Activado"
"Basic Braintree Settings","Configuración básica de Braintree"
"Title","Título"
"Environment","Entorno"
"Payment Action","Acción de pago"
"Merchant ID","Identificación del comerciante"
"Public Key","Clave publica"
"Private Key","Clave Privada"
"Advanced Braintree Settings","Configuración avanzada de Braintree"
"Vault Title","Título de la bóveda"
"Merchant Account ID","ID de cuenta del comerciante"
"Advanced Fraud Protection","Protección avanzada de fraude"
"Kount Merchant ID","Kount ID del comerciante"
"Debug","Depurar"
"CVV Verification","Verificación CVV"
"Credit Card Types","Tipos de tarjeta de crédito"
"Sort Order","Orden de aparición"
"Country Specific Settings","Ajustes específicos del país"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Country Specific Credit Card Types","Tipos de tarjeta de crédito específicas del país"
"PayPal through Braintree","PayPal a través de Braintree"
"Override Merchant Name","Reemplazar el nombre comercial"
"Require Customer's Billing Address","Requiere la dirección de facturación del cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permitir que se modifique la dirección de envío introducida durante el pago en PayPal"
"Display on Shopping Cart","Mostrar en carrito de compras"
"Skip Order Review","Saltar revisión del pedido"
"3D Secure Verification Settings","Configuración de verificación 3D segura"
"3D Secure Verification","Verificación 3D segura"
"Threshold Amount","Monto del umbral"
"Verify for Applicable Countries","Verificar para los países aplicables"
"Verify for Specific Countries","Verificar para países específicos"
"Dynamic Descriptors","Descriptores Dinámicos"
"Name","Nombre"
"Phone","Teléfono"
"URL","URL"
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Aplique filtros para obtener resultados. Sólo los 100 primeros registros se mostrarán en la cuadrícula; podrá descargar la versión completa del informe en formato .csv."
"Select...","Seleccionar..."
"Status","Estado"
"Transaction Type","Tipo de transacción"
"Payment Type","Tipo de pago"
"PayPal Payment ID","ID de pago de PayPal"
"Created At","Creado en"
"Transaction ID","Id de la transacción"
"Order ID","ID del pedido"
"Type","Tipo"
"Amount","Importe"
"Settlement Code","Código de acuerdo"
"Settlement Response Text","Texto de respuesta de acuerdo"
"Refund Ids","Ids de reembolso"
"Settlement Batch ID","ID de lote de acuerdo"
"Currency","Moneda"
